Vegetable,Price
Artichoke,3.4498
Asparagus,3.4328
Beets,1.1431
"Black beans",1.2387
"Blackeye peas",1.3164
"Cabbage, sauerkraut",1.478
Carrots,1.1979
"Collard greens",1.3315
Corn,1.1543
"Great northern beans",1.1583
"Green beans",1.1291
"Green peas",1.3118
"Kidney beans",1.1208
"Lima beans",1.4785
"Mixed vegetables, peas & carrots",1.4754
"Mustard greens",1.3367
"Navy beans",1.2738
Olives,5.3496
"Pinto beans",1.1189
Potatoes,1.0266
Pumpkin,1.8642
Spinach,1.5676
Tomatoes,1.0715
"Turnip greens",1.3154
