Vegetable,Price
"Acorn squash",1.2136
Artichoke,2.4703
Asparagus,2.9531
Avocados,2.6737
"Broccoli florets",2.9162
"Broccoli heads",3.082
"Brussels sprouts",2.9139
"Butternut squash",1.2691
"Cabbage, green",0.797
"Cabbage, red",1.2604
"Carrots, cooked whole",0.9761
"Carrots, raw whole",0.9761
"Carrots, baby",1.3507
"Cauliflower florets",3.8022
"Cauliflower heads",2.1841
"Celery, trimmed bunches",1.1637
"Celery sticks",2.4941
"Collard greens",3.0881
Corn,2.2281
"Cucumbers with peel",1.2473
"Cucumbers without peel",1.2473
"Green beans",2.6199
"Green peppers",1.4789
Kale,3.4338
"Lettuce, iceberg",1.2512
"Lettuce, romaine, heads",2.3074
"Lettuce, romaine, hearts",3.2802
"Mushrooms, whole",3.8929
"Mushrooms, sliced",3.9224
Okra,5.1567
Onions,1.1062
Potatoes,0.8166
Radish,1.8126
"Red peppers",1.8742
"Spinach, boiled",4.1214
"Spinach, eaten raw",4.1214
"Sweet potatoes",1.1565
"Tomatoes, grape & cherry",3.8729
"Tomatoes, roma & plum",1.2453
"Tomatoes, large round",2.1868
"Turnip greens",2.925
Zucchini,1.6359
