Vegetable,RetailPrice
"Cabbage, green",0.797
Potatoes,0.8166
"Carrots, cooked whole",0.9761
"Carrots, raw whole",0.9761
Onions,1.1062
"Sweet potatoes",1.1565
"Celery, trimmed bunches",1.1637
"Acorn squash",1.2136
"Tomatoes, roma & plum",1.2453
"Cucumbers without peel",1.2473
"Cucumbers with peel",1.2473
"Lettuce, iceberg",1.2512
"Cabbage, red",1.2604
"Butternut squash",1.2691
"Carrots, baby",1.3507
"Green peppers",1.4789
Zucchini,1.6359
Radish,1.8126
"Red peppers",1.8742
"Cauliflower heads",2.1841
"Tomatoes, large round",2.1868
Corn,2.2281
"Lettuce, romaine, heads",2.3074
Artichoke,2.4703
"Celery sticks",2.4941
"Green beans",2.6199
Avocados,2.6737
"Brussels sprouts",2.9139
"Broccoli florets",2.9162
"Turnip greens",2.925
Asparagus,2.9531
"Broccoli heads",3.082
"Collard greens",3.0881
"Lettuce, romaine, hearts",3.2802
Kale,3.4338
"Cauliflower florets",3.8022
"Tomatoes, grape & cherry",3.8729
"Mushrooms, whole",3.8929
"Mushrooms, sliced",3.9224
"Spinach, boiled",4.1214
"Spinach, eaten raw",4.1214
Okra,5.1567
